Myo81F 3R:567076-2532932
Mur18B X:19213254-19214938
Muc18B X:19215515-19216660
CG7884 X:19220622-19235910
CG14196 X:19236059-19241840
CG7889 X:19243631-19245224
CG7992 X:19245158-19247250
Hs3st-B X:19248639-19252045
rictor X:19252111-19261240
Vav X:19261820-19273280
CG8010 X:19266656-19268896
CG32537 X:19273349-19276539
CG32536 X:19275004-19276898
CG8028 X:19277176-19280349
CG8034 X:19281232-19298162
CG8051 X:19301330-19307925
snmRNA:763 X:19301703-19301873
out X:19310513-19322106
nAChRalpha7 X:19327075-19348447
kek5 X:19353181-19471914
CG32533 X:19474156-19479411
CG12200 X:19475063-19476055
mRpS14 X:19479382-19480238
Naa15-16 X:19479984-19484643
CR43260 X:19484858-19485423
pcm X:19485759-19492011
ND-18 X:19492421-19493337
CG12204 X:19493292-19494401
ksh X:19494420-19494992
CR44340 X:19495284-19495896
Pfrx X:19495505-19509350
CG14200 X:19495505-19518402
l(1)G0156 X:19518428-19521810
CoRest X:19521929-19530896
CG12231 X:19531032-19531742
CG32532 X:19531851-19547482
mir-972 X:19551152-19551242
mir-9369 X:19551318-19551379
mir-973 X:19551528-19551628
mir-974 X:19551678-19551778
mir-2499 X:19557008-19557103
mir-4966-1 X:19558370-19558496
mir-4966-2 X:19558607-19558693
mir-975 X:19558753-19558843
mir-976 X:19558895-19558991
mir-977 X:19559022-19559120
Grip84 X:19559431-19565764
mir-978 X:19561236-19561327
mir-979 X:19561837-19561931
car X:19566019-19569401
Tao X:19569721-19579800
CG14218 X:19580350-19581981
CG14204 X:19583617-19587057
CG14219 X:19587348-19590170
CG14205 X:19592609-19595548
RpS10b X:19598031-19599806
CG14220 X:19599803-19601851
CG14207 X:19605199-19611413
Shawn X:19611526-19615617
Tyler X:19611526-19615617
CG14210 X:19616196-19616825
Tim9b X:19616663-19618537
CG12788 X:19616663-19618537
CG14221 X:19618819-19621245
Naa20A X:19621451-19623074
MKP-4 X:19623114-19625729
CG14212 X:19625705-19626601
e(y)3 X:19626548-19638369
Rcd-1 X:19638767-19640746
CG12237 X:19641191-19642869
Sec61gamma X:19643327-19644518
Arp10 X:19644531-19646176
Ranbp21 X:19646306-19652269
CG14215 X:19652305-19659407
CG14223 X:19659442-19663971
Ssu72 X:19664561-19666866
CR44512 X:19667018-19667746
Zw X:19667252-19672353
et X:19672312-19675891
dome X:19676061-19683518
Ubqn X:19683808-19687658
CG14227 X:19687791-19688948
Mer X:19689697-19693500
CG14229 X:19693977-19695250
Cdc42 X:19697091-19699938
CG14231 X:19699820-19701755
CG14232 X:19701927-19704259
CG14230 X:19704176-19706417
meso18E X:19706418-19713045
CR44889 X:19712934-19713821
CG12531 X:19718923-19730199
AP-1-2beta X:19731004-19734581
CG14234 X:19735570-19740456
COX6B X:19740537-19744335
CG18809 X:19741224-19744335
CG33932 X:19744431-19745898
Rpp20 X:19744431-19745898
CR45501 X:19745936-19746487
parvin X:19746041-19748458
Alr X:19748314-19750167
Pmp70 X:19750770-19759280
CG12702 X:19759173-19764874
zld X:19766465-19783548
CR44885 X:19786730-19788156
SkpD X:19812729-19813384
SkpC X:19816072-19816700
SkpE X:19823368-19824080
pico X:19830215-19852059
Nup205 X:19852214-19859379
THADA X:19859743-19865524
Hers X:19866146-19908108
amn X:19886108-19890060
CG45486 X:19909318-19910117
CR32821 X:19910168-19910521
CR45495 X:19912655-19913283
CG45487 X:19914482-19915281
CR43377 X:19915332-19915685
CR45496 X:19917819-19918447
CG45488 X:19919641-19920435
CR43378 X:19920486-19920708
CG45489 X:19928416-19929178
CR43379 X:19929229-19929580
CR45497 X:19931714-19932342
CG45490 X:19933541-19934294
CR43380 X:19934345-19934565
CG45491 X:19938232-19938994
CR43381 X:19939045-19939396
CR45498 X:19941530-19942158
CG45492 X:19943357-19944147
CR43382 X:19944198-19944417
CG45493 X:19948079-19948873
CR43383 X:19948924-19949147
CG45494 X:19952814-19953608
CR43384 X:19953659-19953882
CG43784 X:19957548-19958342
CG12655 X:19958393-19959403
Nep3 X:19961297-19969323
CG17003 X:20000968-20002096
Dop2R X:20004680-20062706
tRNA:Pro-CGG-1-1 X:20025099-20025170
CG9570 X:20051294-20052519
CR45628 X:20090654-20090858
fd19B X:20091428-20092408
Or19b X:20094398-20095767
CG42581 X:20096162-20096474
karr X:20110110-20110575
CG34331 X:20122453-20125271
CG15322 X:20133579-20138878
CG42583 X:20139793-20140170
CG34332 X:20141010-20141476
Or19a X:20141819-20143188
CG9572 X:20148124-20155514
Rab35 X:20155766-20159872
Phf7 X:20160355-20165830
CG9577 X:20166673-20168080
CG9581 X:20168042-20169981
CG9578 X:20170222-20171526
AnxB10 X:20171445-20173514
Sdic1 X:20174217-20178638
CR33491 X:20178755-20179597
Sdic2 X:20181590-20186487
CR33496 X:20186630-20187472
Sdic3 X:20189440-20194227
CR33487 X:20194360-20195206
CG46275 X:20197319-20201933
CR46272 X:20202076-20202922
CG46276 X:20205043-20209603
CR46273 X:20209746-20210592
CG46277 X:20212738-20217259
CR46274 X:20217402-20218244
Sdic4 X:20220666-20225020
CR33498 X:20225137-20225979
sw X:20227961-20236382
CR45465 X:20238383-20239117
obst-A X:20239855-20243209
Peritrophin-A X:20244647-20248203
CG17068 X:20248309-20251093
Rab10 X:20251338-20254691
CG17065 X:20254692-20257199
CG42577 X:20259239-20259656
Inx6 X:20267821-20269769
CR45504 X:20292047-20293407
CR45505 X:20293601-20294288
CG1504 X:20302015-20330372
CG1631 X:20327444-20328680
CR46072 X:20359752-20360046
CG12679 X:20375764-20376522
CR34311 X:20383584-20384062
jb X:20390096-20390806
l(1)G0004 X:20391447-20392401
Syx16 X:20392334-20393751
HERC2 X:20394395-20412247
CG15459 X:20412341-20413581
CG15458 X:20413652-20414199
Obp19a X:20415744-20416521
Obp19b X:20416733-20417812
Obp19c X:20417921-20418964
Obp19d X:20419613-20420979
Pp4-19C X:20421087-20424002
cactin X:20424069-20426402
CG15456 X:20426431-20427042
CG11710 X:20427411-20429673
mal X:20429675-20433210
CG1695 X:20433950-20445599
CG42578 X:20446371-20446703
CG32506 X:20449331-20467065
GstT3 X:20467455-20469796
RhoGAP19D X:20469955-20510694
CG15461 X:20486180-20486588
CG1812 X:20511544-20515828
Tak1 X:20515908-20524928
CG42579 X:20527631-20528043
RunxB X:20538497-20567097
CG42580 X:20574282-20574693
RunxA X:20590252-20623773
CR45466 X:20656891-20657678
Cyp6v1 X:20657122-20661425
CG1835 X:20661917-20669669
hydra X:20670832-20677063
CR43862 X:20686819-20687653
CR45610 X:20690320-20690633
run X:20690670-20697321
CG1324 X:20734455-20735960
CR45059 X:20739538-20740308
CG15452 X:20744965-20745965
CR44710 X:20758489-20759626
CR43838 X:20759736-20760953
shakB X:20761071-20927050
CG32507 X:20780150-20781220
CG15450 X:20822146-20825641
CR43193 X:20864813-20865731
CG1314 X:20867989-20869397
CR11235 X:20874941-20875303
I-3 X:20881814-20882626
CG11227 X:20930972-20933559
Npc1b X:20934869-20939503
Ser6 X:20962605-20963505
CG1304 X:20964527-20965419
CG44426 X:20978286-20978868
CG11666 X:20984686-20985246
r-cup X:21023390-21025888
CG1532 X:21026125-21028361
CG1529 X:21028652-21031950
Ntf-2 X:21035469-21041467
CG15449 X:21039514-21040605
Mgstl X:21042125-21044107
CR44431 X:21043550-21044024
Cbs X:21045138-21049096
Stt3A X:21049885-21053937
snoRNA:Me28S-U3344b X:21050898-21050978
scaRNA:MeU2-C28 X:21051686-21051734
snoRNA:Me28S-U3344a X:21052283-21052361
bves X:21053963-21082391
CG32512 X:21062277-21067540
CG11566 X:21093844-21111417
stg1 X:21093844-21111417
CG15446 X:21095680-21102206
CG1503 X:21104695-21106369
unc X:21111414-21116914
CG15445 X:21117159-21120444
CR44374 X:21119529-21120176
CG34120 X:21123634-21140951
CG45154 X:21146281-21147041
CR45499 X:21155432-21156173
CR32511 X:21156259-21156621
CR45506 X:21187979-21188759
CG14579 X:21193253-21194521
CG1724 X:21202499-21203341
CG32521 X:21205310-21281171
CG32523 X:21217878-21218835
tRNA:Ile-AAT-2-1Psi X:21231325-21231399
tRNA:Arg-TCG-2-2 X:21232091-21232163
CG1722 X:21249976-21251148
CG1494 X:21285301-21292458
CG1718 X:21292308-21306665
mir-1007 X:21296385-21296449
mir-2535b X:21298275-21298345
tRNA:Tyr-GTA-1-1 X:21304441-21304535
tRNA:Tyr-GTA-2-1 X:21304713-21304820
CG1801 X:21307586-21317522
Rpt6 X:21316052-21317663
CG33713 X:21317936-21319296
SLIRP1 X:21317936-21319296
Dd X:21319791-21324009
CG1486 X:21324046-21328150
tty X:21328613-21339676
fliI X:21339741-21345088
dod X:21345358-21346858
peng X:21346503-21349843
sol X:21350280-21357912
Sep1 X:21358286-21361688
waw X:21363028-21373145
bbx X:21363028-21373145
CR45612 X:21372593-21373553
CR45611 X:21373635-21374417
slgA X:21374002-21385159
Hlc X:21385518-21387946
snoRNA:MeU6-A47 X:21386845-21386935
mst X:21388977-21391533
lcs X:21396727-21397316
CR45500 X:21400011-21400837
whe X:21402339-21402772
CR45003 X:21409402-21410546
DIP-beta X:21422115-21457738
CG10918 X:21428614-21429256
CR45507 X:21467128-21467601
CR45508 X:21467983-21468479
Ir20a X:21477254-21478945
CR45509 X:21479654-21479949
CR45510 X:21480757-21481124
CR45511 X:21483082-21483519
CR45082 X:21496526-21520017
Cyp6t1 X:21517434-21519218
CR44711 X:21583802-21584575
GCS2alpha X:21600502-21605264
CG17450 X:21605884-21608920
CG33502 X:21609357-21611526
CG32820 X:21611797-21615239
CG32857 X:21615449-21617617
CG32819 X:21617889-21621104
CG32500 X:21621541-21623750
DIP1 X:21624796-21630148
CR44712 X:21630936-21631433
flam X:21631891-21790731
CG40813 X:22143102-22143816
CG41562 X:22251626-22252340
CG14621 X:22444227-22447808
CG14615 X:22447183-22449491
tilB X:22449737-22451463
wap X:22451445-22455422
Usp2 X:22455803-22470146
CG14613 X:22469981-22472021
CG14618 X:22473698-22474998
CG12576 X:22474851-22482357
Cp110 X:22482082-22487458
l(1)G0196 X:22487180-22508129
CR43493 X:22487854-22490872
CR43962 X:22514453-22514891
CG17600 X:22515197-22542024
S6kII X:22529964-22536371
CG17598 X:22534831-22540383
CG17599 X:22542386-22544322
CG17601 X:22547097-22548056
Cda4 X:22583634-22632710
CR44997 X:22657324-22797682
CR44109 X:22764525-22766663
CR45464 X:22806501-22807399
CG12446 X:22809292-22811935
fog X:22824317-22855194
CG42346 X:22832399-22885541
mir-2491 X:22833440-22833583
CR43656 X:22870267-22872158
CG34334 X:22872812-22875367
CR41352 X:22917105-22917498
CG41106 X:22945321-22946339
CR45502 X:22958076-22958827
CG40486 X:22958856-22960091
CG40485 X:22960609-22962360
stnA X:22980722-23004648
stnB X:22980722-23004648
CR45009 X:23007672-23009452
FucTC X:23008766-23011303
CR45010 X:23010972-23011293
Rab21 X:23012140-23013409
CG13865 X:23013495-23016586
zyd X:23022898-23035550
CG12061 X:23036066-23047678
CG17167 X:23068301-23081144
CG17163 X:23080759-23082709
CG17168 X:23082738-23084576
CG17169 X:23084672-23085536
CG17159 X:23084960-23092631
CG17162 X:23084960-23096735
CR43480 X:23090324-23093609
su(f) X:23096771-23101431
ATbp X:23106003-23108331
28SrRNA-Psi:CR45853 X:23200802-23201056
5.8SrRNA-Psi:CR45854 X:23205258-23205380
2SrRNA-Psi:CR40677 X:23205409-23205438
28SrRNA-Psi:CR45855 X:23205822-23206525
18SrRNA-Psi:CR41602 X:23211192-23213166
5.8SrRNA-Psi:CR45857 X:23213889-23214011
2SrRNA-Psi:CR45858 X:23214040-23214069
28SrRNA-Psi:CR45859 X:23214452-23217140
28SrRNA-Psi:CR40741 X:23239718-23240975
28SrRNA-Psi:CR41609 X:23261772-23262666
28SrRNA-Psi:CR45860 X:23270802-23271158
pre-rRNA:CR45856 X:23278007-23283731
28SrRNA-Psi:CR45862 X:23278007-23280010
5.8SrRNA:CR40454 X:23280155-23280277
18SrRNA-Psi:CR45861 X:23280998-23282931
5.8SrRNA-Psi:CR45863 X:23291549-23291671
2SrRNA:CR45864 X:23291700-23291729
CG11023 2L:7529-9484
l(2)gl 2L:9839-21376
Ir21a 2L:21823-25155
CR43609 2L:21952-24237
Cda5 2L:25402-65404
CR46254 2L:54817-55767
CR45339 2L:65999-66242
CR45340 2L:66318-66524
dbr 2L:66482-71390
CR44987 2L:71039-73836
galectin 2L:71757-76211
CG11374 2L:76348-77783
net 2L:82421-87387
Zir 2L:94739-102086
CG11377 2L:102380-104142
Nhe1 2L:103962-106732
Sam-S 2L:106903-114432
ND-15 2L:114726-156030
CG13694 2L:115365-116488
CG4822 2L:116970-121754
CG3164 2L:122624-130791
CR44969 2L:122837-124031
Gs1 2L:132077-134472
CR44185 2L:135402-136128
CR44186 2L:136144-136701
CG31975 2L:138384-140992
ovm 2L:138384-140992
CG31974 2L:141077-143091
CG11454 2L:143323-144227
CG42399 2L:144231-153300
CG3709 2L:153539-155305
CG3436 2L:156029-157666
CG33635 2L:157836-158664
spen 2L:159032-203397
mRpL10 2L:203779-204782
CG11617 2L:204743-207297
Tbc1d15-17 2L:207179-210725
kis 2L:210735-250823
CR44220 2L:219651-220050
CR44222 2L:223519-224708
CR44221 2L:228037-228588
snoRNA:kis-a 2L:232166-232253
CG13693 2L:232487-234208
mir-965 2L:243035-243141
CR44218 2L:248909-249812
Rpp30 2L:251039-252373
CG3645 2L:252589-271744
CG17075 2L:259949-267505
CR44219 2L:262203-263003
CG3345 2L:269088-271626
mbm 2L:271912-273715
CG11555 2L:273836-274766
CG17078 2L:274740-278234
smo 2L:277582-282167
CG11601 2L:281670-283269
CG3625 2L:283385-291795
CR46262 2L:283807-284255
CR46263 2L:286383-288292
Amnionless 2L:287252-289144
CG11562 2L:292419-293222
U2af38 2L:292959-294681
Stip1 2L:295122-297449
Pi3K21B 2L:297880-305233
Plc21C 2L:305935-355566
CR43719 2L:308537-309348
CG11912 2L:318362-319259
CG11911 2L:320279-321248
CG33127 2L:322101-323091
CG43755 2L:325522-329761
CG31921 2L:329910-332335
Ent1 2L:355565-357874
CR45367 2L:355663-356891
CR45366 2L:357329-358174
al 2L:378112-387439
CR43718 2L:396120-396571
CG4213 2L:396595-402198
RpI135 2L:404285-407969
AP-2alpha 2L:408030-414777
ebi 2L:415067-418536
CG13690 2L:418434-419652
RpLP1 2L:419952-420864
CG11885 2L:420895-421450
CG13692 2L:421771-422489
BBS8 2L:422873-425321
ex 2L:431227-448701
CR43717 2L:439539-440104
crq 2L:448254-453024
shv 2L:453108-454654
CR43080 2L:454754-455313
CG4133 2L:455531-458745
CG4297 2L:458876-472200
MED15 2L:473013-476170
ush 2L:476220-540560
cbt 2L:476446-479688
CR46258 2L:490835-492649
CR46259 2L:500873-502236
lwr 2L:540599-542580
Spp 2L:542786-544653
Ets21C 2L:544925-552923
nAChRbeta3 2L:545129-547096
rempA 2L:553742-560310
Tspo 2L:559612-560523
CG11835 2L:560568-563819
CG2794 2L:564163-566472
Nle 2L:566366-568121
Sf3b1 2L:568340-572907
Ipk2 2L:573033-574264
cold 2L:574291-575734
Ptth 2L:575711-576896
Pph13 2L:577486-579549
Gsc 2L:583540-594685
CR46148 2L:588048-588784
CG13689 2L:602813-604430
CR43648 2L:605914-606412
CR43649 2L:608340-609134
lectin-21Cb 2L:620298-621201
CR44797 2L:623107-623665
CR44798 2L:623900-624323
lectin-21Ca 2L:624617-625556
CG2839 2L:625652-628200
CR45369 2L:628729-629052
ds 2L:640013-714983
CR44988 2L:710568-715307
CR46260 2L:721985-724833
Hsp60B 2L:728362-730564
Eaat2 2L:737212-744395
GABA-B-R3 2L:749945-762399
CR44614 2L:772514-773093
CG12506 2L:773547-774017
CG13946 2L:776536-776941
CG13947 2L:779173-779655
Gr21a 2L:780482-782885
CG3544 2L:784336-788776
Pkg21D 2L:786153-790798
CR45259 2L:799856-800323
Nnf1b 2L:810577-811531
Dbp21E2 2L:811584-813380
Saf6 2L:813314-815950
Pex12 2L:815993-818096
CG15880 2L:816994-817950
PGAP2 2L:818079-819508
Clp 2L:819964-821209
CG3662 2L:821289-824337
CG3862 2L:824329-825861
dock 2L:825969-833241
drongo 2L:833584-851071
CR44060 2L:850702-851163
CG4291 2L:851251-852730
kraken 2L:852768-854539
CG13949 2L:855337-856639
CR45345 2L:857403-860079
mir-375 2L:857542-857632
CG13950 2L:860197-861806
aru 2L:861849-868354
snoRNA:Me28S-U1230 2L:865366-865493
dbe 2L:868673-869857
PNUTS 2L:870465-877038
CG15824 2L:877172-885141
ninaA 2L:877302-878270
CR45348 2L:897453-898050
Lsp1beta 2L:898500-901316
snRNA:U1:21D 2L:901491-901654
CR45261 2L:904029-904347
CR44061 2L:912981-913305
GluRIIC 2L:914086-917805
CG4341 2L:922793-958098
CR44801 2L:987807-991300
IA-2 2L:1008378-1048053
CG4375 2L:1026105-1026897
CG4415 2L:1037246-1038685
S 2L:1049674-1077815
ast 2L:1077948-1080803
Atg4a 2L:1080911-1085380
CG4629 2L:1083091-1102504
mtRNApol 2L:1103254-1108373
CG14339 2L:1108540-1112694
CG14340 2L:1112941-1114138
Pino 2L:1114654-1128953
CG4552 2L:1129316-1132411
Iris 2L:1132332-1134098
CG4577 2L:1134693-1141156
CR45717 2L:1142869-1143216
MFS3 2L:1143201-1147395
l(2)10685 2L:1147822-1149449
Tfb4 2L:1149445-1150677
Vps29 2L:1150766-1151764
capt 2L:1151678-1158262
CR43767 2L:1158576-1159355
Tango14 2L:1158661-1160220
CG5080 2L:1160290-1163886
IntS14 2L:1164443-1166425
CG14341 2L:1166506-1167211
Plap 2L:1167172-1170365
CG31922 2L:1170181-1170789
Charon 2L:1170753-1172805
CG4887 2L:1173009-1177589
CG4896 2L:1177690-1182454
CG5126 2L:1182297-1184020
Tgt 2L:1184065-1185698
CG5001 2L:1185757-1196807
CG5139 2L:1198465-1199266
CG43348 2L:1199412-1199924
CG43349 2L:1200205-1200663
CG5011 2L:1200671-1201220
CG14342 2L:1204215-1205250
CR45346 2L:1214649-1215293
CR43263 2L:1216854-1217785
CG42329 2L:1219293-1229802
CG5397 2L:1240036-1243018
robo3 2L:1256417-1296596
a5 2L:1329161-1329993
CG5440 2L:1334128-1335514
CG33923 2L:1341365-1342095
CG33922 2L:1343443-1344171
Cdlc2 2L:1344400-1345135
CR45005 2L:1345501-1345840
CR45006 2L:1345965-1346331
CG5556 2L:1351728-1352868
CG5561 2L:1352970-1354109
CG31924 2L:1354101-1354919
CG5565 2L:1354911-1355924
CG31659 2L:1358925-1359790
NLaz 2L:1359837-1361821
CG14346 2L:1367996-1369050
CR44898 2L:1380083-1381326
robo2 2L:1380086-1420453
CR44897 2L:1381211-1382796
CG43401 2L:1428474-1429159
snRNA:U3 2L:1432711-1432921
CG43402 2L:1442627-1443832
CG31928 2L:1492295-1493859
CG33128 2L:1494070-1495456
CG31926 2L:1495460-1497071
CG31661 2L:1497243-1498583
CG18131 2L:1498455-1500608
CG7420 2L:1500784-1502904
CR44064 2L:1500830-1504204
CG18132 2L:1516795-1517478
halo 2L:1517533-1518148
Or22a 2L:1520491-1522156
Or22b 2L:1522697-1524257
haf 2L:1555129-1608404
CG10869 2L:1584866-1587155
CG31935 2L:1594822-1611157
CG14352 2L:1611410-1612576
RFeSP 2L:1612429-1614160
CR44603 2L:1618637-1626021
CR45695 2L:1646932-1647163
chinmo 2L:1651258-1704682
cpb 2L:1704902-1706962
CG17660 2L:1707132-1710421
CR44976 2L:1708452-1709244
mRpL48 2L:1710462-1711465
frtz 2L:1711302-1715851
Rim2 2L:1716244-1724388
Eno 2L:1724768-1729636
Rrp40 2L:1728732-1729762
CG31937 2L:1729887-1731070
CG17652 2L:1731033-1732356
CG17646 2L:1732524-1750612
CG17712 2L:1750687-1752122
CG17648 2L:1752308-1752848
Gr22f 2L:1755253-1756451
CG17650 2L:1758286-1759093
Gr22e 2L:1784062-1785286
Gr22d 2L:1789141-1790361
Gr22c 2L:1790617-1791823
Gr22b 2L:1792057-1793268
Gr22a 2L:1793668-1794917
CG31933 2L:1821256-1823331
CG31664 2L:1824172-1826500
c-cup 2L:1831627-1832565
mir-2280 2L:1831685-1831799
wry 2L:1836538-1858550
CR44073 2L:1839494-1839896
CR44074 2L:1840070-1840808
CG31663 2L:1858609-1881480
CG7295 2L:1869803-1871032
CR44075 2L:1872693-1873511
CG15358 2L:1882008-1883185
Wdr62 2L:1884622-1944289
tRNA:Gly-GCC-1-1 2L:1938089-1938159
CG15357 2L:1945150-1945709
CG33673 2L:1945815-1946728
erm 2L:1950239-1970362
tRNA:Arg-TCT-2-1 2L:1965426-1965498
Der-1 2L:1973957-1975413
CG15356 2L:1975463-1980755
CG15362 2L:1981176-1982099
CG7289 2L:1982217-1984514
Got2 2L:1984512-1987758
Npc2a 2L:1988290-1988940
CR42874 2L:1989450-1990894
Obp22a 2L:1991381-1992160
CG33543 2L:1997102-2006313
CR43464 2L:2000058-2003935
CG15353 2L:2006763-2007193
CR45712 2L:2006867-2007688
Nplp4 2L:2008414-2009072
tRNA:Gln-CTG-2-2 2L:2009155-2009226
tRNA:Gln-CTG-2-3 2L:2009538-2009609
CG4238 2L:2009859-2030788
tRNA:Gln-CTG-2-4 2L:2010646-2010717
tRNA:Gln-CTG-3-1 2L:2010869-2010940
tRNA:Gln-CTG-2-5 2L:2013179-2013250
tRNA:Gly-GCC-1-2 2L:2031692-2031762
CG42296 2L:2032519-2036041
lectin-22C 2L:2036409-2037265
Su(dx) 2L:2037714-2044372
CR45298 2L:2044517-2045381
Kebab 2L:2045494-2048054
Or22c 2L:2054589-2057967
dpr3 2L:2058790-2109878
CG12674 2L:2079919-2081286
CR44808 2L:2082031-2082347
CR44055 2L:2083362-2084419
CG4259 2L:2127309-2129237
GlyP 2L:2130813-2137296
tho2 2L:2137350-2145187
CG11723 2L:2145297-2147275
TBCD 2L:2147518-2151664
AIF 2L:2151754-2155389
CG15382 2L:2155753-2156790
aop 2L:2156484-2178754
CR43751 2L:2181962-2185495
CR44066 2L:2186975-2187970
tRNA:Arg-TCT-3-1 2L:2187007-2187079
CR45290 2L:2188620-2189405
CG10874 2L:2189914-2192386
CR44065 2L:2190191-2191272
CG34172 2L:2192525-2197912
CG31668 2L:2203721-2206166
CG33124 2L:2206525-2209102
CG15385 2L:2209574-2212571
Uch 2L:2212738-2214211
CG34174 2L:2214266-2215167
CG10880 2L:2214972-2216311
CG42371 2L:2216503-2217246
CG15386 2L:2216503-2217246
mio 2L:2217290-2220625
papi 2L:2220748-2225544
CG15387 2L:2225545-2226294
sau 2L:2226342-2231099
CR44114 2L:2226753-2227604
Sec24CD 2L:2231106-2236844
CR44115 2L:2236347-2237022
Tengl3 2L:2237076-2238251
Tengl2 2L:2238304-2239384
Tengl1 2L:2239414-2240593
CG4267 2L:2242378-2245274
CR42859 2L:2245230-2247383
Ser12 2L:2250431-2251275
CG17239 2L:2251510-2252341
CG17234 2L:2253045-2253852
Send1 2L:2254176-2255050
CR44787 2L:2257635-2258000
CR44788 2L:2259396-2259730
CG4270 2L:2263442-2264241
CG34049 2L:2264231-2265321
CG17242 2L:2268106-2269140
CR43753 2L:2271319-2279714
CR43754 2L:2283705-2285003
CG4271 2L:2285163-2285926
CG31681 2L:2285925-2286873
CG42658 2L:2287025-2287933
CG17237 2L:2288503-2289416
robl22E 2L:2290224-2290738
CG31949 2L:2300103-2300888
CG16995 2L:2307948-2308872
CG9967 2L:2308761-2357356
eys 2L:2311680-2358944
Rab5 2L:2359142-2365273
Axud1 2L:2365345-2370137
CG3597 2L:2370152-2371524
CG3609 2L:2372455-2374627
CG15390 2L:2374713-2375697
CR44982 2L:2374955-2375582
Atxn7 2L:2375841-2380506
Eogt 2L:2381097-2383073
PIG-Wa 2L:2383202-2384747
CG3557 2L:2384761-2385792
CG43750 2L:2389578-2390689
VGlut 2L:2391660-2410662
CG18641 2L:2410624-2415322
CG31948 2L:2415359-2416720
CG34448 2L:2416792-2417965
CG34447 2L:2418422-2420013
CG9886 2L:2420830-2424647
CG44139 2L:2424797-2425041
CR44912 2L:2427050-2427881
dpp 2L:2428372-2459823
tRNA:Tyr-GTA-1-2 2L:2459924-2460044
tRNA:Tyr-GTA-1-3 2L:2462593-2462686
CR45286 2L:2471644-2472978
Slh 2L:2488197-2492671
oaf 2L:2492955-2498846
CR44607 2L:2507312-2507596
CG3528 2L:2517102-2518037
CR46069 2L:2517205-2518845
CR44112 2L:2532999-2533569
CG3515 2L:2551145-2552825
CR44113 2L:2555750-2556089
Cyp309a1 2L:2562483-2564830
Cyp309a2 2L:2564886-2573037
Rad1 2L:2573436-2575052
Sws1 2L:2573436-2575052
insv 2L:2575280-2576997
Elba2 2L:2577687-2579179
ND-B17.2 2L:2579201-2580172
Arpc5 2L:2580292-2581423
Drp1 2L:2581281-2585430
CG15394 2L:2591869-2592773
CR44790 2L:2598608-2599860
CR44789 2L:2601033-2601721
CG15395 2L:2609994-2611283
CG43403 2L:2620187-2620782
lncRNA:TS11 2L:2625456-2627986
CR46328 2L:2637669-2638540
lncRNA:TS4 2L:2639185-2640081
CR43852 2L:2646030-2646281
CG9962 2L:2646577-2647720
CG43851 2L:2647886-2648361
CG33125 2L:2648360-2652414
Prosbeta4R1 2L:2653046-2653926
Or23a 2L:2654049-2655462
Prosbeta4R2 2L:2655394-2657102
CG9879 2L:2665062-2666265
Gr23a 2L:2669823-2672186
CG31690 2L:2677734-2719431
CG15398 2L:2695330-2696437
CG31689 2L:2725674-2739830
mir-4914 2L:2737568-2737661
Hrs 2L:2739986-2743377
CG9961 2L:2743375-2744934
Cwc25 2L:2745098-2746944
Pgk 2L:2746880-2753068
Bacc 2L:2752445-2757975
CR44772 2L:2757940-2758176
CG9960 2L:2758427-2759677
Snapin 2L:2758427-2759677
Tnpo-SR 2L:2759924-2763889
CG3077 2L:2763416-2765665
aph-1 2L:2766233-2767281
Taf10b 2L:2767286-2767845
Taf10 2L:2767890-2768612
colt 2L:2768590-2770069
CG2862 2L:2770135-2770904
CG15399 2L:2770884-2771776
Syt1 2L:2772327-2799979
CR43821 2L:2797832-2798321
daw 2L:2805261-2812376
CG2964 2L:2812437-2814429
G6P 2L:2814336-2815760
Duox 2L:2815970-2830248
CG3123 2L:2823546-2825506
CG3119 2L:2834887-2837833
Cpr23B 2L:2838411-2839547
CR45342 2L:2840025-2840316
CG2975 2L:2840124-2842638
CG18558 2L:2842589-2844513
CG18557 2L:2844601-2845734
CG3117 2L:2845926-2847212
CG2983 2L:2847632-2848997
CG3104 2L:2848989-2855778
RpS21 2L:2856070-2857029
CG2991 2L:2857164-2868548
CG31694 2L:2868627-2874489
CG8813 2L:2869652-2870649
CG8814 2L:2874890-2877168
Prx6005 2L:2877091-2878232
CG31950 2L:2878344-2879001
betaggt-II 2L:2879112-2880708
NTPase 2L:2880704-2885850
lilli 2L:2885929-2954406
Rbp9 2L:2954762-2968434
Ts 2L:2968293-2969638
Rrp1 2L:2969773-2972508
gammaTub23C 2L:2972891-2974858
CG9641 2L:2974859-2976862
CG3165 2L:2977122-2978500
CG9643 2L:2978411-2979288
Chd1 2L:2979562-2987723
Bem46 2L:2988116-2990075
okr 2L:2989594-2992759
CG3558 2L:2992870-2998726
CG17265 2L:2999286-3016069
CG17224 2L:3016441-3018308
CG17264 2L:3018508-3021506
alpha4GT1 2L:3021309-3023141
CG3542 2L:3023226-3026439
Sf3b2 2L:3026252-3029168
CG17219 2L:3029253-3030616
CR44147 2L:3030412-3030903
GABPI 2L:3030539-3032300
CG17258 2L:3032210-3035348
SerRS 2L:3035493-3037403
CG17260 2L:3037230-3038793
cnir 2L:3038826-3039812
CG17221 2L:3039976-3041890
CG17261 2L:3042551-3043593
FASN2 2L:3043947-3056143
